"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STX5",1.91594003191985e-15,-0.806325478462413,0.14,0.196,3.51383401854101e-11
"ABCD4",1.933973520964e-15,-1.48003338800249,0.043,0.103,3.54690743744797e-11
"METTL12",1.95846834693529e-15,-1.24574802160356,0.057,0.128,3.59183094827933e-11
"DNAJC15",1.96450379658464e-15,0.441810912416036,0.339,0.238,3.60289996293622e-11
"HPS4",1.96767084954549e-15,-1.39626310639246,0.049,0.113,3.60870833806642e-11
"STAP1",2.06732961156789e-15,-4.11482994232859,0.003,0.036,3.7914825076155e-11
"UBE2W",2.18650890203804e-15,0.582997189285189,0.148,0.085,4.01005732633777e-11
"GDI2",2.21800427509524e-15,0.378644087397321,0.606,0.484,4.06781984052467e-11
"LGALS3BP",2.24502103654591e-15,-1.72253953504596,0.027,0.084,4.11736858102521e-11
"RP11-362F19.3",2.24726601471575e-15,4.89872891932241,0.019,0.001,4.12148587098869e-11
"MICAL3",2.25388685827289e-15,-3.08084735855436,0.008,0.047,4.13362849807248e-11
"RGS19",2.27789544341027e-15,0.349525738004367,0.397,0.292,4.17766024321443e-11
"RDX",2.30314223360204e-15,0.989307437080962,0.119,0.055,4.22396285642614e-11
